Message Byte Length,SHA512 Cost,Curve Cost
743,56612,10764
744,56502,10813
745,56510,10813
746,56601,10813
747,56604,10764
748,56607,10764
749,56610,10813
750,56613,10813
751,56615,10862
752,56511,10813
753,56601,10813
754,56604,10813
755,56607,10764
756,56610,10813
757,56613,10813
758,56616,10764
759,56618,10813
760,56601,10764
761,56604,10862
762,56607,10862
763,56610,10813
764,56613,10813
765,56616,10813
766,56619,10813
767,56621,10813
768,56604,10862
769,56607,10813
770,56610,10862
771,56613,10862
772,56616,10764
773,56619,10862
774,56622,10813
775,56624,10764
776,56607,10862
777,56610,10813
778,56613,10813
779,56616,10764
780,56619,10862
781,56622,10764
782,56625,10862
783,56498,10813
784,56610,10764
785,56613,10813
786,56616,10862
787,56619,10764
788,56622,10862
789,56625,10813
790,56498,10813
791,56492,10813
792,56613,10813
793,56616,10813
794,56619,10764
795,56622,10813
796,56625,10813
797,56497,10813
798,56492,10862
799,56486,10813
800,56616,10764
801,56619,10813
802,56622,10813
803,56625,10813
804,56496,10862
805,56491,10764
806,56486,10813
807,56480,10813
808,56619,10813
809,56622,10813
810,56625,10813
811,56495,10813
812,56490,10813
813,56485,10764
814,56480,10813
815,56474,10813
816,64675,10764
817,64678,10813
818,64547,10813
819,64542,10813
820,64537,10862
821,64532,10813
822,64527,10813
823,64521,10813
824,64672,10813
825,64540,10813
826,64535,10813
827,64530,10813
828,64525,10862
829,64520,10813
830,64515,10764
831,64489,10813
832,64356,10813
833,64364,10862
834,64372,10813
835,64380,10813
836,64388,10813
837,64396,10764
838,64404,10764
839,64499,10813
840,64366,10813
841,64374,10813
842,64382,10813
843,64390,10813
844,64398,10813
845,64406,10813
846,64501,10862
847,64503,10764
848,64375,10813
849,64383,10813
850,64391,10764
851,64399,10813
852,64407,10813
853,64501,10862
854,64504,10813
855,64506,10862
856,64384,10813
857,64392,10764
858,64400,10764
859,64408,10813
860,64501,10813
861,64504,10813
862,64507,10813
863,64509,10813
864,64393,10813
865,64401,10813
866,64409,10862
867,64501,10764
868,64504,10764
869,64507,10813
870,64510,10813
871,64512,10813
872,64402,10813
873,64410,10813
874,64501,10813
875,64504,10813
876,64507,10813
877,64510,10862
878,64513,10862
879,64515,10764
880,64411,10813
881,64501,10813
882,64504,10813
883,64507,10813
884,64510,10764
885,64513,10813
886,64516,10862
887,64518,10813
888,64501,10813
889,64504,10813
890,64507,10813
891,64510,10813
892,64513,10862
893,64516,10813
894,64519,10813
895,64521,10813
896,64504,10813
897,64507,10862
898,64510,10813
899,64513,10764
